id	at_bats	hits
692	285	73
693	206	55
694	269	90
695	26	3
696	315	56
697	255	60
698	306	75
699	280	87
700	307	66
701	277	62
702	30	9
703	22	7
704	300	123
705	37	17
706	292	179
707	293	93
708	320	78
709	13	4
710	260	82
711	45	18
712	310	99
713	324	100
714	287	62
715	9	5
716	272	55
717	262	99
718	42	11
719	23	3
720	298	114
721	259	67
722	309	104
723	278	94
724	332	72
725	288	118
726	278	53
727	244	93
728	29	7
729	365	82
730	44	19
731	274	80
732	33	13
733	36	7
734	229	108
735	26	6
736	328	117
737	290	94
738	283	151
739	47	22
740	330	144
741	308	102
742	15	8
743	206	59
744	284	63
745	301	106
746	252	105
747	268	62
748	316	120
749	310	120
750	361	124
751	255	76
752	38	8
753	337	103
754	287	116
755	336	72
756	357	135
757	320	54
758	277	78
759	336	178
760	293	59
761	26	11
762	239	72
763	311	80
764	259	101
765	285	83
766	303	29
767	347	96
768	308	123
769	323	119
770	260	117
771	301	137
772	298	108
773	335	45
774	39	14
775	303	113
776	280	75
777	301	95
778	315	69
779	290	28
780	25	2
781	28	7
782	234	55
783	339	114
784	277	73
785	248	94
786	339	133
787	377	60
788	300	122
789	23	2
790	25	2
791	306	19
792	336	125
793	316	53
794	312	121
795	381	131
796	284	132
797	292	88
798	309	152
799	244	61
800	31	6
801	299	81
802	323	84
803	12	5
804	275	90
805	309	112
806	27	8
807	320	123
808	31	14
809	305	150
810	360	57
811	267	51
812	324	83
813	284	0
814	327	81
815	304	59
816	35	13
817	366	79
818	287	92
819	343	115
820	339	89
821	319	76
822	278	48
823	301	91
824	27	6
825	321	115
826	283	70
827	319	167
828	322	95
829	20	7
830	244	86
831	303	133
832	324	69
833	294	116
834	273	131
835	36	9
836	296	135
837	278	70
838	294	106
839	333	72
840	282	69
841	324	133
842	307	67
843	326	155
844	44	14
845	367	135
846	305	138
847	41	10
848	315	80
849	348	111
850	215	94
851	324	100
852	35	11
853	315	76
854	308	99
855	305	93
856	294	22
857	25	6
858	303	99
859	300	78
860	303	45
861	39	15
862	276	88
863	286	58
864	304	84
865	299	114
866	269	55
867	28	4
868	287	105
869	265	63
870	320	126
871	19	4
872	319	38
873	261	80
874	349	84
875	254	79
876	290	59
877	289	116
878	330	115
879	35	4
880	26	9
881	324	133
882	287	120
883	275	116
884	275	66
885	310	66
886	298	105
887	272	106
888	276	51
889	316	119
890	350	76
891	11	4
892	300	72
893	259	59
894	305	102
895	308	41
896	328	89
897	14	8
898	326	107
899	289	129
900	373	73
901	264	125
902	11	4
903	34	3
904	266	51
905	27	8
906	327	85
907	316	69
908	26	3
909	307	122
910	16	6
911	268	124
912	304	95
913	302	117
914	297	63
915	284	110
916	42	13
917	296	77
918	45	17
919	290	68
920	300	66
921	269	72
922	312	109
923	323	109
924	328	174
925	284	77
926	332	71
927	280	112
928	29	8
929	285	71
930	296	44
931	259	87
932	314	25
933	22	2
934	304	105
935	304	55
936	297	95
937	307	89
938	303	103
939	290	130
940	256	72
941	295	70
942	311	103
943	261	74
944	307	35
945	20	5
946	266	41
947	271	82
948	302	136
949	31	9
950	274	80
951	303	133
952	27	15
953	289	63
954	279	92
955	305	123
956	246	76
957	21	6
958	19	6
959	355	103
960	21	9
961	297	36
962	260	88
963	271	69
964	361	171
965	262	86
966	42	13
967	281	129
968	304	41
969	252	100
970	217	44
971	35	5
972	6	0
973	29	12
974	313	90
975	282	122
976	285	55
977	34	4
978	31	15
979	281	92
980	342	88
981	321	64
982	303	101
983	317	158
984	15	5
985	322	146
986	318	88
987	272	139
988	284	27
989	306	105
990	318	67
991	352	101
992	37	12
993	303	150
994	331	70
995	29	11
996	19	1
997	325	124
998	314	59
999	299	100
1000	28	13
1001	304	107
1002	265	59
1003	293	34
1004	284	80
1005	286	68
1006	284	41
1007	338	101
1008	34	6
1009	38	8
1010	305	134
1011	275	110
1012	288	75
1013	288	86
1014	294	72
1015	259	104
1016	315	95
1017	318	122
1018	337	128
1019	317	107
1020	20	8
1021	308	110
1022	273	56
1023	268	76
1024	339	110
1025	289	84
1026	332	118
1027	308	108
1028	311	149
1029	322	73
1030	36	13
1031	282	61
1032	52	21
1033	325	136
1034	313	51
1035	46	17
1036	258	73
1037	310	26
1038	302	122
1039	322	121
1040	270	48
1041	291	37
1042	285	30
1043	285	102
1044	324	75
1045	285	108
1046	290	96
1047	278	58
1048	18	6
1049	21	6
1050	363	74
1051	309	42
1052	249	63
1053	317	68
1054	24	6
1055	40	13
1056	290	84
1057	294	86
1058	325	75
1059	28	7
1060	325	123
1061	308	55
1062	329	85
1063	299	58
1064	39	8
1065	40	15
1066	269	93
1067	381	134
1068	295	112
1069	274	159
1070	284	53
1071	312	83
1072	306	113
1073	272	39
1074	280	86
1075	291	99
1076	329	25
1077	264	85
1078	306	55
1079	307	1
1080	272	80
1081	308	67
1082	237	90
1083	265	81
1084	343	36
1085	255	79
1086	27	1
1087	268	61
1088	267	125
1089	289	28
1090	33	4
1091	20	8
1092	320	134
1093	303	70
1094	28	5
1095	321	95
1096	251	97
1097	321	114
1098	262	55
1099	338	129
1100	303	99
1101	43	6
1102	270	42
1103	365	131
1104	298	47
1105	252	50
1106	304	140
1107	282	47
1108	267	72
1109	377	111
1110	302	70
1111	309	62
1112	23	3
1113	348	86
1114	278	88
1115	42	6
1116	274	85
1117	256	79
1118	226	89
1119	325	66
1120	299	91
1121	293	64
1122	39	28
1123	57	25
1124	330	68
1125	237	74
1126	289	118
1127	297	89
1128	235	113
1129	280	118
1130	21	6
1131	293	5
1132	350	60
1133	331	92
1134	329	3
1135	26	14
1136	33	11
1137	312	18
1138	297	125
1139	41	9
1140	278	121
1141	258	66
1142	285	90
1143	286	107
1144	311	110
1145	304	111
1146	288	78
1147	237	97
1148	310	116
1149	338	98
1150	271	45
1151	292	132
1152	332	157
1153	266	103
1154	320	102
1155	351	64
1156	291	16
1157	316	67
1158	329	158
1159	329	122
1160	260	91
1161	312	123
1162	334	111
1163	268	62
1164	294	56
1165	319	141
1166	331	144
1167	318	88
1168	55	13
1169	323	48
1170	261	120
1171	298	89
1172	294	78
1173	285	88
1174	37	14
1175	292	115
1176	37	15
1177	259	15
1178	272	147
1179	329	144
1180	22	3
1181	290	104
1182	290	126
1183	344	129
1184	301	132
1185	312	52
1186	239	82
1187	323	129
1188	329	194
1189	330	27
1190	325	101
1191	260	60
1192	315	95
1193	335	137
1194	295	126
1195	36	10
1196	331	82
1197	307	131
1198	294	89
1199	266	75
1200	22	10
1201	293	58
1202	245	67
1203	24	8
1204	30	13
1205	306	62
1206	318	133
1207	344	52
1208	298	94
1209	288	84
1210	278	59
1211	315	45
1212	32	13
1213	355	105
1214	286	71
1215	288	47
1216	29	0
1217	311	92
1218	37	18
1219	285	65
1220	300	63
1221	270	25
1222	244	39
1223	291	117
1224	338	156
1225	275	98
1226	293	128
1227	32	9
1228	328	121
1229	267	48
1230	301	118
1231	340	105
1232	291	19
1233	17	2
1234	398	171
1235	322	73
1236	321	62
1237	326	89
1238	275	116
1239	34	12
1240	296	56
1241	252	68
1242	278	54
1243	277	84
1244	36	13
1245	334	34
1246	285	122
1247	331	132
1248	267	94
1249	289	88
1250	292	0
1251	43	19
1252	308	120
1253	344	66
1254	20	8
1255	30	1
1256	295	95
1257	314	99
1258	304	101
1259	264	95
1260	330	76
1261	292	165
1262	324	78
1263	275	57
1264	255	88
1265	292	64
1266	272	79
1267	356	136
1268	264	78
1269	260	107
1270	323	97
1271	13	5
1272	305	90
1273	301	66
1274	272	82
1275	279	94
1276	333	95
1277	267	76
1278	323	57
1279	325	108
1280	298	15
1281	21	7
1282	239	94
1283	303	105
1284	241	95
1285	308	61
1286	363	48
1287	319	49
1288	37	6
1289	356	178
1290	32	6
1291	31	4
1292	286	87
1293	285	87
1294	40	18
1295	299	76
1296	251	54
1297	303	89
1298	342	102
1299	290	75
1300	288	77
1301	324	72
1302	277	34
1303	314	113
1304	278	99
1305	334	95
1306	257	72
1307	324	148
1308	310	101
1309	315	43
1310	300	117
1311	306	123
1312	331	81
1313	330	142
1314	287	31
1315	230	104
1316	57	7
1317	38	13
1318	332	88
1319	313	114
1320	296	81
1321	309	61
1322	351	142
1323	264	53
1324	265	34
1325	307	99
1326	328	91
1327	295	68
1328	306	71
1329	328	78
1330	313	85
1331	24	4
1332	17	6
1333	331	162
1334	331	52
1335	273	93
1336	31	8
1337	278	89
1338	336	130
1339	304	51
1340	320	39
1341	354	172
1342	19	7
1343	266	40
1344	344	111
1345	53	15
1346	58	14
1347	309	110
1348	17	5
1349	316	156
1350	308	54
1351	314	90
1352	328	84
1353	285	74
1354	285	138
1355	338	169
1356	325	13
1357	317	112
1358	275	81
1359	296	70
1360	39	12
1361	280	119
1362	272	97
1363	298	59
1364	380	165
1365	301	41
1366	351	91
1367	290	82
1368	309	96
1369	301	71
1370	321	100
1371	303	94
1372	328	86
1373	311	107
1374	315	127
1375	36	11
1376	277	138
1377	236	73
1378	305	66
1379	291	72
1380	38	7
1381	20	7
1382	26	9
1383	303	93
1384	248	90
1385	12	5
1386	292	98
1387	319	111
1388	271	55
1389	306	118
1390	28	5
1391	327	63
1392	253	90
1393	297	69
1394	337	94
1395	321	87
1396	317	66
1397	293	109
1398	20	8
1399	339	69
1400	264	94
1401	265	79
1402	296	96
1403	228	77
1404	219	87
1405	267	105
1406	349	140
1407	322	45
1408	338	170
1409	301	94
1410	343	106
1411	283	109
1412	267	72
1413	294	49
1414	294	85
1415	35	14
1416	292	72
1417	293	98
1418	274	42
1419	289	140
1420	216	84
1421	302	89
1422	331	78
1423	321	116
1424	293	43
1425	348	133
1426	331	114
1427	23	5
1428	268	36
1429	255	61
1430	331	127
1431	296	77
1432	311	97
1433	277	94
1434	328	72
1435	269	75
1436	21	5
1437	301	90
1438	281	91
1439	30	5
1440	24	8
1441	306	50
1442	278	117
1443	280	109
1444	281	101
1445	41	21
1446	45	13
1447	283	71
1448	23	10
1449	265	96
1450	219	67
1451	312	78
1452	281	100
1453	246	42
1454	345	91
1455	330	83
1456	273	74
1457	26	4
1458	312	103
1459	25	12
1460	295	146
1461	306	100
1462	0	0
1463	288	100
1464	343	111
1465	302	75
1466	290	60
1467	291	93
1468	315	90
1469	263	103
1470	29	5
1471	283	102
1472	24	7
1473	29	11
1474	282	116
1475	320	75
1476	41	7
1477	31	13
1478	350	107
1479	313	70
1480	324	59
1481	318	51
1482	309	76
1483	294	109
1484	323	94
1485	32	2
1486	316	95
1487	37	6
1488	305	53
1489	30	13
1490	345	76
1491	312	84
1492	252	109
1493	294	38
1494	259	104
1495	285	93
1496	306	175
1497	317	79
1498	330	85
1499	34	8
1500	306	85
1501	341	129
1502	286	117
1503	21	1
1504	323	82
1505	349	100
1506	17	3
1507	308	98
1508	264	31
1509	31	7
1510	306	115
1511	323	134
1512	327	99
1513	35	8
1514	316	128
1515	32	9
1516	340	128
1517	343	97
1518	278	88
1519	31	6
1520	314	95
1521	266	112
1522	284	68
1523	315	88
1524	366	101
1525	279	87
1526	303	93
1527	309	55
1528	348	79
1529	273	88
1530	325	133
1531	23	9
1532	283	122
1533	279	130
1534	313	62
1535	49	18
1536	327	150
1537	335	62
1538	40	14
1539	36	11
1540	376	101
1541	309	68
1542	295	111
1543	242	53
1544	327	57
1545	250	137
1546	300	63
1547	306	75
1548	281	88
1549	319	89
1550	22	4
1551	293	17
1552	310	83
1553	8	2
1554	265	121
1555	307	94
1556	280	61
1557	324	102
1558	286	53
1559	29	5
1560	239	79
1561	266	64
1562	338	59
1563	310	73
1564	309	47
1565	221	99
1566	268	62
1567	289	98
1568	306	61
1569	287	92
1570	337	80
1571	298	78
1572	22	4
1573	301	116
1574	302	100
1575	293	128
1576	273	105
1577	19	8
1578	277	45
1579	285	94
1580	307	126
1581	33	13
1582	30	16
1583	293	108
1584	300	87
1585	39	7
1586	330	92
1587	294	26
1588	319	103
1589	27	4
1590	246	70
1591	302	78
1592	302	73
1593	307	80
1594	284	67
1595	320	86
1596	347	78
1597	24	2
1598	320	120
1599	335	114
1600	256	75
1601	23	6
1602	331	133
1603	293	8
1604	268	17
1605	288	106
1606	363	74
1607	285	91
1608	323	170
1609	228	76
1610	41	9
1611	308	61
1612	298	82
1613	332	43
1614	262	67
1615	35	16
1616	352	64
1617	263	97
1618	268	101
1619	291	114
1620	310	68
1621	314	124
1622	302	69
1623	310	39
1624	22	8
1625	48	4
1626	21	6
1627	249	27
1628	316	110
1629	275	126
1630	305	78
1631	295	95
1632	29	8
1633	358	85
1634	51	19
1635	305	94
1636	47	17
1637	255	92
1638	305	56
1639	285	83
1640	315	46
1641	298	109
1642	314	113
1643	300	86
1644	314	123
1645	311	129
1646	329	94
1647	293	130
1648	32	8
1649	303	74
1650	273	28
1651	335	132
1652	354	123
1653	326	111
1654	293	85
1655	318	91
1656	327	70
1657	323	87
1658	23	8
1659	30	4
1660	323	88
1661	303	65
1662	46	22
1663	286	126
1664	269	75
1665	270	96
1666	252	55
1667	41	9
1668	338	73
1669	13	1
1670	278	94
1671	312	113
1672	32	10
1673	33	7
1674	314	101
1675	28	9
1676	313	111
1677	304	47
1678	11	3
1679	269	100
1680	25	9
1681	300	143
1682	16	4
1683	296	144
1684	22	4
1685	272	146
1686	236	42
1687	292	109
1688	38	6
1689	289	97
1690	324	86
1691	285	136
1692	281	65
1693	298	99
1694	256	114
1695	262	43
1696	314	43
1697	313	95
1698	277	83
1699	346	150
1700	282	92
1701	283	96
1702	318	117
1703	286	85
1704	250	107
1705	309	102
1706	289	123
1707	331	163
1708	283	89
1709	263	132
1710	224	70
1711	246	83
1712	11	4
1713	312	99
1714	264	13
1715	264	104
1716	295	68
1717	296	101
1718	316	104
1719	318	67
1720	293	93
1721	284	105
1722	296	89
1723	288	143
1724	241	138
1725	312	33
1726	312	61
1727	325	84
1728	258	73
1729	283	80
1730	273	131
1731	245	119
1732	352	43
1733	269	97
1734	384	118
1735	283	67
1736	299	69
1737	336	154
1738	318	116
1739	262	105
1740	25	9
1741	339	46
1742	335	116
1743	28	9
1744	25	7
1745	295	121
1746	285	97
1747	296	99
1748	26	9
1749	46	16
1750	287	52
1751	305	164
1752	24	1
1753	294	132
1754	289	77
1755	40	10
1756	268	70
1757	33	14
1758	316	78
1759	321	76
1760	238	79
1761	308	104
1762	268	82
1763	331	99
1764	292	62
1765	321	79
1766	304	88
1767	29	6
1768	284	126
1769	290	159
1770	348	88
1771	271	115
1772	33	7
1773	287	125
1774	298	100
1775	306	136
1776	354	127
1777	358	50
1778	23	7
1779	16	5
1780	292	53
1781	23	8
1782	262	106
1783	295	105
1784	218	97
1785	327	125
1786	300	29
1787	354	102
1788	38	20
1789	320	91
1790	325	130
1791	302	137
1792	10	2
1793	333	141
1794	289	105
1795	315	78
1796	357	135
1797	56	27
1798	320	84
1799	296	80
1800	298	85
1801	301	66
1802	286	122
1803	348	77
1804	286	98
1805	266	90
1806	27	8
1807	323	129
1808	33	6
1809	278	66
1810	47	5
1811	295	117
1812	14	2
1813	327	130
1814	335	98
1815	305	116
1816	261	130
1817	277	108
1818	324	91
1819	292	78
1820	33	6
1821	343	132
1822	274	46
1823	300	96
1824	263	94
1825	319	34
1826	245	53
1827	277	78
1828	344	147
1829	32	0
1830	338	180
1831	268	76
1832	280	106
1833	312	73
1834	304	43
1835	308	79
1836	35	11
1837	301	111
1838	314	62
1839	302	17
1840	288	106
1841	33	9
1842	332	43
1843	42	14
1844	281	78
1845	279	161
1846	287	94
1847	287	146
1848	23	8
1849	275	61
1850	17	7
1851	292	47
1852	304	136
1853	27	10
1854	312	117
1855	290	131
1856	308	74
1857	29	10
1858	297	134
1859	302	52
1860	301	53
1861	28	10
1862	292	95
1863	309	82
1864	34	15
1865	261	136
1866	11	4
1867	314	56
1868	40	7
1869	31	15
1870	211	29
1871	294	60
1872	341	98
1873	285	123
1874	342	82
1875	281	101
1876	316	86
1877	270	127
1878	350	72
1879	336	48
1880	293	46
1881	288	88
1882	304	92
1883	27	11
1884	301	97
1885	275	64
1886	26	3
1887	305	114
1888	306	72
1889	269	81
1890	36	7
1891	305	63
1892	285	122
1893	293	107
1894	279	57
1895	299	85
1896	326	100
1897	336	53
1898	338	132
1899	300	118
1900	286	76
1901	296	102
1902	303	33
1903	36	9
1904	313	67
1905	279	93
1906	283	77
1907	29	7
1908	303	130
1909	307	90
1910	331	72
1911	27	11
1912	331	98
1913	282	105
1914	322	95
1915	309	68
1916	306	36
1917	15	3
1918	289	113
1919	353	81
1920	264	71
1921	282	44
1922	337	86
1923	320	78
1924	302	65
1925	36	9
1926	353	86
1927	346	103
1928	282	98
1929	342	137
1930	272	39
1931	300	124
1932	33	5
1933	313	36
1934	291	148
1935	293	97
1936	31	6
1937	355	53
1938	295	118
1939	363	176
1940	287	90
1941	267	42
1942	248	85
1943	283	88
1944	310	76
1945	301	76
1946	336	89
1947	346	129
1948	285	125
1949	301	80
1950	14	1
1951	374	104
1952	50	9
1953	293	41
1954	307	100
1955	285	56
1956	327	69
1957	297	86
1958	295	74
1959	291	76
1960	264	43
1961	275	118
1962	320	99
1963	314	94
1964	294	9
1965	303	109
1966	336	70
1967	26	13
1968	304	84
1969	299	53
1970	377	87
1971	339	110
1972	294	112
1973	283	99
1974	274	87
1975	352	77
1976	261	105
1977	23	10
1978	342	180
1979	46	13
1980	280	99
1981	329	83
1982	288	55
1983	293	45
1984	306	117
1985	35	12
1986	219	77
1987	319	129
1988	28	7
1989	264	58
1990	19	5
1991	26	6
1992	22	7
1993	309	96
1994	284	58
1995	333	104
1996	290	98
1997	317	80
1998	273	47
1999	299	111
2000	306	111
2001	265	108
2002	314	70
2003	294	74
2004	262	88
2005	287	136
2006	295	101
2007	284	105
2008	255	61
2009	304	80
2010	281	93
2011	327	50
2012	28	10
2013	345	92
2014	257	93
2015	307	82
2016	280	78
2017	34	2
2018	331	81
2019	277	96
2020	271	44
2021	314	127
2022	288	72
2023	264	40
2024	35	16
2025	300	122
2026	30	13
2027	298	81
2028	297	93
2029	33	0
2030	34	6
2031	31	6
2032	317	102
2033	330	103
2034	276	76
2035	40	9
2036	343	83
2037	273	81
2038	309	68
2039	319	89
2040	332	138
2041	297	85
2042	257	94
2043	306	129
2044	319	131
2045	276	36
2046	314	61
2047	329	77
2048	264	109
2049	355	57
2050	20	4
2051	308	53
2052	255	85
2053	319	100
2054	259	68
2055	27	5
2056	282	75
2057	283	64
2058	317	148
2059	291	57
2060	303	3
2061	204	81
2062	254	105
2063	296	69
2064	292	93
2065	306	66
2066	40	17
2067	298	3
2068	278	116
2069	277	128
2070	308	105
2071	284	75
2072	16	5
2073	291	104
2074	344	59
2075	16	3
2076	332	127
2077	306	101
2078	281	113
2079	261	84
2080	329	83
2081	300	57
2082	37	15
2083	325	45
2084	261	82
2085	281	120
2086	313	120
2087	290	70
2088	261	45
2089	341	165
2090	265	33
2091	326	79
2092	296	109
2093	307	69
2094	27	4
2095	288	84
2096	335	105
2097	330	89
2098	21	5
2099	308	36
2100	25	9
2101	276	64
2102	263	87
2103	278	83
2104	278	70
2105	27	14
2106	287	113
2107	281	77
2108	264	69
2109	298	104
2110	330	73
2111	318	64
2112	280	93
2113	294	117
2114	37	8
2115	340	80
2116	309	80
2117	296	91
2118	313	52
2119	29	4
2120	34	8
2121	287	113
2122	317	54
2123	245	78
2124	284	60
2125	342	91
2126	297	85
2127	303	57
2128	291	133
2129	31	13
2130	293	122
2131	332	77
2132	320	65
2133	284	13
2134	266	120
2135	288	68
2136	314	51
2137	338	58
2138	307	130
2139	334	87
